id,Age,Gender,Reviews_Read,Price,Discount,Category,Items_In_Cart,Time_of_Day,Email_Interaction,Device_Type,Payment_Method,Referral_Source,Socioeconomic_Status_Score,Engagement_Score,Purchase
0,20.0,1.0,1.0,623.797,25.0,4.0,4.0,afternoon,0.0,Desktop,PayPal,Direct,9.13,2.16787256610842,0
1,22.0,0.0,5.0,549.324,50.0,4.0,8.0,evening,0.0,Desktop,Bank,Search_engine,9.53,3.49424278454731,0
2,18.0,0.0,2.0,489.191,19.0,0.0,5.0,afternoon,0.0,Mobile,Bank,Email,0.7,2.09356756791863,0
3,25.0,0.0,3.0,769.45,16.0,4.0,5.0,evening,0.0,Mobile,Credit,Social_media,6.83,3.64485930327125,0
4,22.0,1.0,2.0,39.308,35.0,0.0,3.0,evening,0.0,Mobile,,Email,1.86,4.17125608940667,0
5,24.0,0.0,1.0,48.328,37.0,1.0,2.0,afternoon,1.0,Mobile,Bank,Search_engine,7.48,2.03188909361652,1
6,35.0,0.0,2.0,223.826,44.0,1.0,1.0,afternoon,1.0,Mobile,Credit,Social_media,3.91,5.13600189672407,1
7,38.0,0.0,3.0,100.895,38.0,4.0,2.0,evening,1.0,Desktop,PayPal,Email,1.15,,1
8,19.0,0.0,6.0,473.861,28.0,2.0,5.0,afternoon,1.0,Desktop,Cash,Direct,5.44,3.32669597807089,0
9,36.0,1.0,4.0,276.905,15.0,2.0,1.0,evening,0.0,Mobile,Bank,Email,1.35,3.49836453850062,1
10,22.0,1.0,,756.777,47.0,0.0,7.0,afternoon,0.0,,Credit,Email,,5.14102728238131,0
11,25.0,1.0,3.0,745.519,43.0,0.0,7.0,evening,0.0,Mobile,,Direct,4.59,4.4735579142109,0
12,27.0,0.0,7.0,453.804,5.0,2.0,4.0,morning,0.0,Desktop,,Direct,5.16,0.575257263882563,0
13,23.0,,4.0,241.985,24.0,2.0,4.0,eVening,0.0,Desktop,,Direct,4.77,0.721163669663704,0
14,,0.0,2.0,,35.0,3.0,3.0,afternoon,0.0,Desktop,Cash,Direct,3.21,3.45046680709679,0
15,,0.0,6.0,253.649,0.0,2.0,5.0,morning,1.0,Mobile,Credit,Email,9.64,0.977428961406445,0
16,,1.0,3.0,656.894,40.0,4.0,3.0,afternoon,1.0,Desktop,Credit,,9.31,3.7105590739542,0
17,22.0,0.0,5.0,293.498,35.0,3.0,2.0,evening,1.0,Mobile,Cash,Direct,2.88,2.23788455184074,0
18,37.0,0.0,5.0,25.678,1.0,4.0,8.0,afternoon,1.0,Mobile,Credit,Ads,5.48,0.64743172365556,0
19,26.0,0.0,5.0,899.723,26.0,0.0,3.0,morning,1.0,Desktop,Credit,Search_engine,3.07,1.72500132627003,0
20,63.0,0.0,4.0,463.981,12.0,1.0,1.0,morning,0.0,Mobile,Credit,Direct,1.31,0.944289900215947,0
21,29.0,1.0,8.0,837.181,0.0,1.0,2.0,evening,0.0,Mobile,PayPal,Social_media,2.33,3.36019118475854,0
22,23.0,0.0,8.0,458.22,16.0,2.0,2.0,morning,0.0,Tablet,Bank,Direct,5.8,4.2367306786209,0
23,,1.0,5.0,855.086,15.0,2.0,8.0,evening,1.0,Desktop,PayPal,Direct,5.57,5.03697337405011,0
24,40.0,0.0,1.0,449.927,17.0,4.0,1.0,afternoon,1.0,Mobile,Credit,,3.87,3.18140928456721,0
25,18.0,0.0,3.0,407.561,3.0,4.0,7.0,morning,0.0,Tablet,Bank,Direct,0.0,3.04984759446376,0
26,,0.0,3.0,832.354,21.0,1.0,,evening,0.0,Desktop,,Search_engine,6.72,2.26897334314832,0
27,42.0,1.0,3.0,831.639,36.0,3.0,2.0,evening,1.0,Mobile,,,2.18,2.22782602145724,0
28,34.0,0.0,3.0,466.162,26.0,3.0,4.0,afternoon,1.0,Desktop,,Ads,5.54,1.03969940625317,1
29,22.0,1.0,6.0,465.289,17.0,,6.0,evening,0.0,,Cash,Search_engine,9.4,0.266576360814016,0
30,26.0,0.0,4.0,875.39,36.0,3.0,3.0,afternoon,0.0,Mobile,PayPal,Email,5.35,0.482022929814127,0
31,39.0,1.0,6.0,138.537,,0.0,0.0,evening,0.0,Desktop,PayPal,Direct,1.93,1.05079148048987,0
32,31.0,1.0,5.0,843.263,40.0,2.0,5.0,evening,0.0,Desktop,Bank,Direct,9.08,4.74277035208829,0
33,23.0,0.0,3.0,861.553,5.0,2.0,6.0,afternoon,0.0,Mobile,Credit,Direct,4.68,4.88974875317392,0
34,65.0,0.0,1.0,940.99,37.0,2.0,6.0,afternoon,1.0,Mobile,Credit,Ads,0.6,4.25509343019888,0
35,25.0,1.0,2.0,482.57,41.0,0.0,6.0,evening,1.0,Desktop,,Social_media,6.98,2.19027301819577,0
36,33.0,1.0,6.0,56.909,10.0,1.0,4.0,morning,0.0,Desktop,Cash,Social_media,0.98,0.45560010183169,0
37,18.0,0.0,1.0,71.951,6.0,3.0,3.0,afternoon,1.0,Mobile,PayPal,Ads,2.51,0.721163669663704,0
38,25.0,1.0,1.0,156.056,41.0,2.0,3.0,evening,0.0,Mobile,Credit,,3.86,5.54860957450473,0
39,,1.0,2.0,63.216,13.0,2.0,4.0,afternoon,0.0,Desktop,Bank,Direct,0.56,2.43813091518445,0
40,,1.0,7.0,25.463,47.0,4.0,0.0,afternoon,0.0,Desktop,PayPal,,1.23,1.10303182548725,0
41,41.0,1.0,3.0,464.721,20.0,3.0,10.0,morning,0.0,Desktop,Bank,Social_media,2.6,4.22126632961007,0
42,,0.0,4.0,645.138,34.0,3.0,1.0,afternoon,1.0,Mobile,Bank,,3.93,1.83489184975757,1
43,21.0,1.0,3.0,583.725,40.0,1.0,6.0,morning,0.0,Mobile,PayPal,Email,0.78,2.08144736419253,0
44,,0.0,3.0,270.98,27.0,2.0,1.0,evening,0.0,Mobile,Bank,Ads,1.08,1.51050142720671,0
45,33.0,0.0,2.0,24.675,5.0,4.0,2.0,evening,0.0,Desktop,PayPal,Social_media,9.08,2.23492576596194,0
46,65.0,1.0,4.0,798.608,14.0,2.0,1.0,morning,0.0,Desktop,Credit,Direct,14.73,0.554907608489522,0
47,34.0,0.0,2.0,636.227,5.0,2.0,2.0,evening,0.0,Mobile,Bank,Search_engine,3.83,,0
48,27.0,0.0,2.0,109.978,37.0,4.0,7.0,evening,0.0,Mobile,Cash,Search_engine,4.92,2.23390096807561,0
49,38.0,1.0,5.0,877.668,17.0,0.0,1.0,evening,0.0,Desktop,Credit,Social_media,3.68,1.56545536224736,0
50,20.0,1.0,2.0,965.397,39.0,4.0,1.0,morning,0.0,Mobile,Credit,Social_media,1.48,0.281917733466687,0
51,20.0,0.0,2.0,821.073,37.0,0.0,2.0,afternoon,0.0,Tablet,Credit,Social_media,4.68,3.73427887172007,0
52,24.0,1.0,2.0,522.152,28.0,2.0,5.0,afternoon,1.0,Desktop,PayPal,Email,0.0,0.191957848036056,0
53,36.0,0.0,1.0,414.738,,2.0,2.0,afternoon,0.0,Mobile,Bank,Search_engine,10.84,4.47541598178325,0
54,44.0,1.0,3.0,821.184,1.0,2.0,2.0,morning,1.0,Desktop,Credit,,2.0,3.88279781339876,0
55,19.0,1.0,3.0,929.094,50.0,0.0,6.0,afternoon,0.0,Tablet,PayPal,Social_media,8.01,4.2175656229371,0
56,24.0,1.0,2.0,187.358,10.0,3.0,3.0,morning,0.0,Mobile,Credit,,0.51,1.41054420984646,0
57,26.0,1.0,4.0,926.247,41.0,2.0,9.0,evening,0.0,Mobile,PayPal,,2.28,3.43135066702846,0
58,37.0,0.0,3.0,575.693,15.0,4.0,1.0,morning,0.0,Mobile,Credit,,9.83,0.0554517744447956,0
59,26.0,0.0,3.0,39.205,12.0,0.0,0.0,evening,1.0,Mobile,PayPal,Email,1.62,2.01423202915063,1
60,65.0,1.0,4.0,,21.0,4.0,3.0,afteRn00n,0.0,Mobile,Cash,Ads,3.28,3.05725229467233,0
61,47.0,1.0,5.0,661.427,1.0,0.0,1.0,afternoon,0.0,Mobile,Bank,Direct,0.96,0.0,0
62,19.0,0.0,1.0,61.861,31.0,1.0,1.0,morning,0.0,Tablet,Credit,Ads,3.09,,0
63,45.0,0.0,5.0,47.775,41.0,3.0,,afternoon,0.0,Desktop,Credit,Direct,2.52,2.81522351527317,1
64,24.0,1.0,1.0,138.145,24.0,3.0,4.0,evening,1.0,Mobile,Cash,,2.66,1.99449202328214,0
65,38.0,1.0,2.0,899.85,10.0,0.0,1.0,evening,1.0,Mobile,,Email,3.4,1.17044049595489,0
66,38.0,1.0,3.0,472.426,16.0,0.0,3.0,morning,0.0,Mobile,,Email,14.11,4.74287577787651,0
67,27.0,1.0,0.0,125.197,24.0,1.0,4.0,morning,0.0,Mobile,Credit,Email,5.76,1.87636197619139,0
68,28.0,1.0,8.0,538.126,32.0,1.0,2.0,morning,0.0,Mobile,Bank,Direct,0.6,1.71851606949923,0
69,30.0,0.0,1.0,638.508,2.0,1.0,3.0,evening,1.0,Mobile,Cash,Direct,3.95,3.1022657831752,0
70,47.0,1.0,2.0,834.763,9.0,2.0,0.0,morning,0.0,Tablet,Bank,Social_media,2.2,3.61259471997606,0
71,26.0,0.0,5.0,769.289,38.0,0.0,7.0,evening,1.0,Desktop,Bank,Direct,2.72,5.10982241429143,0
72,39.0,0.0,2.0,477.656,21.0,3.0,6.0,evening,1.0,Mobile,PayPal,Direct,8.3,1.34282135276709,0
73,39.0,0.0,1.0,457.173,23.0,3.0,5.0,evening,0.0,Mobile,Cash,Direct,0.0,2.6684138367708,0
74,60.0,1.0,2.0,275.673,34.0,4.0,2.0,evening,1.0,Desktop,Bank,Direct,1.07,3.53535152318905,0
75,25.0,0.0,3.0,836.446,23.0,3.0,1.0,evening,0.0,Desktop,Credit,Direct,2.21,5.76582450465805,0
76,24.0,0.0,3.0,202.216,4.0,3.0,4.0,evening,1.0,Tablet,Credit,Ads,6.3,3.16143533840902,0
77,23.0,1.0,5.0,241.855,17.0,0.0,5.0,afternoon,0.0,Tablet,Bank,Social_media,2.39,1.84945239767191,0
78,30.0,0.0,2.0,892.471,48.0,0.0,4.0,afternoon,0.0,Desktop,Cash,Ads,5.57,3.51555932373795,0
79,19.0,1.0,3.0,954.84,14.0,1.0,3.0,evening,1.0,Desktop,Credit,Direct,0.0,1.8130397972613,0
80,33.0,0.0,4.0,5.522,22.0,4.0,5.0,afternoon,0.0,Desktop,,Social_media,2.45,2.13831745791914,1
81,19.0,0.0,2.0,364.854,4.0,4.0,2.0,evening,0.0,Mobile,,,0.46,0.208597430304359,0
82,,0.0,1.0,560.73,25.0,0.0,1.0,evening,1.0,Mobile,,,6.31,1.8314379697245,1
83,19.0,1.0,2.0,131.375,12.0,1.0,1.0,afternoon,1.0,Tablet,Bank,Search_engine,11.58,2.94911067510315,0
84,,1.0,5.0,319.8,25.0,0.0,3.0,afternoon,1.0,Mobile,PayPal,,8.89,1.52993528791229,0
85,46.0,1.0,4.0,812.064,39.0,1.0,0.0,evening,1.0,Desktop,,Social_media,5.87,4.69724559305545,0
86,,1.0,5.0,544.117,44.0,3.0,0.0,evening,0.0,Tablet,Bank,Social_media,2.84,3.67140558945414,0
87,65.0,0.0,3.0,173.989,16.0,4.0,14.0,evening,0.0,Mobile,PayPal,Social_media,4.37,2.59151622614208,0
88,18.0,1.0,4.0,499.828,,0.0,0.0,morning,0.0,Mobile,Cash,Search_engine,3.64,1.70250564368684,0
89,50.0,1.0,0.0,914.454,13.0,0.0,6.0,morning,1.0,Tablet,Cash,Social_media,2.44,1.50503722364599,0
90,51.0,1.0,3.0,274.327,29.0,1.0,1.0,morning,1.0,Tablet,Cash,Search_engine,10.8,0.579605775076537,0
91,49.0,1.0,3.0,215.98,17.0,2.0,3.0,afternoon,0.0,Desktop,Credit,,13.51,2.83731720458658,0
92,30.0,1.0,7.0,115.92,25.0,2.0,,evening,0.0,Mobile,,Ads,7.65,3.35103834746914,1
93,65.0,1.0,2.0,584.998,33.0,1.0,6.0,afternoon,0.0,Desktop,Credit,Social_media,0.0,,0
94,26.0,1.0,2.0,861.845,18.0,2.0,0.0,morning,0.0,Tablet,,Email,2.83,6.29254658408893,0
95,54.0,0.0,,127.769,48.0,1.0,4.0,evening,0.0,Desktop,Cash,,9.46,1.54456539881342,0
96,21.0,1.0,4.0,665.881,47.0,2.0,3.0,evening,0.0,Tablet,PayPal,Ads,7.37,0.3870600361258,1
97,24.0,1.0,2.0,280.542,49.0,4.0,4.0,evening,0.0,Mobile,Bank,,3.7,0.784570487863014,0
98,33.0,1.0,2.0,902.111,14.0,1.0,11.0,afternoon,0.0,Desktop,,,5.28,1.61622066497616,0
99,32.0,1.0,5.0,467.993,2.0,4.0,4.0,evening,0.0,Desktop,,Email,3.25,2.31248640664214,0
100,37.0,0.0,4.0,342.983,31.0,0.0,3.0,morning,1.0,Desktop,Credit,Direct,1.8,0.455744819903069,1
101,65.0,1.0,6.0,997.95,29.0,3.0,6.0,evening,0.0,Desktop,PayPal,Ads,1.49,2.21659353606148,0
102,65.0,1.0,2.0,196.297,17.0,0.0,2.0,evening,0.0,Tablet,Credit,Ads,1.55,0.498585944246858,0
103,65.0,1.0,3.0,140.978,40.0,3.0,12.0,afternoon,0.0,Mobile,Bank,Search_engine,6.56,3.30503943544819,0
104,32.0,1.0,4.0,786.899,14.0,2.0,1.0,evening,0.0,Mobile,Cash,Email,9.54,,0
105,36.0,1.0,5.0,751.525,39.0,3.0,3.0,afternoon,0.0,Mobile,Cash,Ads,1.45,2.12318584167114,0
106,33.0,0.0,3.0,178.255,,4.0,0.0,evening,0.0,Desktop,,Ads,0.87,0.496284463025991,0
107,55.0,1.0,4.0,366.122,35.0,0.0,,,0.0,Mobile,Bank,,0.27,0.209482737101321,0
108,25.0,1.0,2.0,966.218,48.0,3.0,1.0,evening,1.0,Mobile,PayPal,,1.04,2.47687023643332,0
109,21.0,1.0,2.0,529.36,1.0,3.0,4.0,evening,0.0,Desktop,Credit,Social_media,4.46,2.17552227774197,0
110,41.0,1.0,3.0,167.593,26.0,2.0,2.0,morning,1.0,Mobile,Credit,Email,1.55,2.04428133587326,0
111,60.0,0.0,5.0,240.104,38.0,4.0,8.0,morning,1.0,Desktop,PayPal,Ads,4.68,1.72129012238838,0
112,42.0,1.0,7.0,673.414,30.0,2.0,5.0,evening,0.0,Tablet,Bank,Social_media,5.0,1.91957848036056,0
113,32.0,1.0,3.0,292.78,29.0,1.0,6.0,evening,0.0,,PayPal,,6.48,1.36840054596902,0
114,31.0,0.0,3.0,979.299,25.0,3.0,1.0,evening,1.0,Mobile,Credit,Ads,0.03,1.35024246565635,0
115,,1.0,2.0,822.428,11.0,4.0,4.0,afternoon,1.0,Tablet,Credit,Ads,4.5,3.63324413089722,0
116,56.0,1.0,2.0,775.579,33.0,1.0,3.0,evening,0.0,Desktop,Bank,Direct,9.1,1.77017012654989,0
117,,0.0,4.0,875.758,26.0,2.0,3.0,morning,1.0,Tablet,Credit,Search_engine,5.08,1.22317281344992,0
118,40.0,1.0,2.0,760.033,24.0,3.0,9.0,evening,0.0,Desktop,Bank,Search_engine,1.34,3.18543485736943,0
119,30.0,1.0,4.0,50.075,41.0,3.0,1.0,evening,0.0,Tablet,Bank,Search_engine,2.99,0.842619178609819,1
120,21.0,1.0,4.0,752.108,25.0,4.0,4.0,evening,1.0,,Bank,Email,2.27,0.0256494935746154,0
121,,1.0,3.0,288.963,24.0,0.0,6.0,evening,0.0,Mobile,Cash,Search_engine,2.38,2.32343412269067,0
122,,1.0,,305.979,11.0,3.0,2.0,morning,1.0,Mobile,Bank,Direct,7.92,4.0943445622221,0
123,,1.0,2.0,589.181,26.0,0.0,8.0,afternoon,1.0,Desktop,PayPal,Ads,2.45,3.01930924581223,0
124,23.0,0.0,4.0,15.785,41.0,0.0,4.0,afternoon,0.0,Desktop,,Ads,6.6,2.9831556377729,0
125,31.0,1.0,4.0,776.33,40.0,1.0,1.0,afternoon,1.0,Desktop,Cash,,8.93,4.27823117199573,0
126,27.0,1.0,4.0,215.757,28.0,1.0,2.0,evening,1.0,Mobile,Bank,Search_engine,8.74,1.94735674561574,0
127,,1.0,2.0,997.808,27.0,1.0,6.0,afternoon,0.0,,Bank,Email,3.67,2.86817240748317,0
128,34.0,0.0,3.0,800.033,40.0,0.0,0.0,afternoon,0.0,Mobile,Cash,Email,4.51,5.95069328911774,0
129,64.0,1.0,2.0,129.821,6.0,0.0,5.0,evening,0.0,Tablet,PayPal,Email,4.04,4.37533284829985,0
130,64.0,1.0,2.0,468.071,48.0,4.0,0.0,,1.0,Desktop,Credit,Search_engine,6.01,4.0417711953216,0
131,21.0,0.0,2.0,137.138,12.0,2.0,2.0,afternoon,0.0,Tablet,PayPal,Direct,2.28,5.88331901003424,0
132,43.0,0.0,2.0,342.966,12.0,3.0,0.0,evening,0.0,Desktop,Cash,Email,9.77,1.96627412369466,0
133,25.0,1.0,4.0,,6.0,2.0,0.0,evening,1.0,Mobile,,Direct,5.06,0.777267532543813,0
134,35.0,1.0,5.0,155.184,2.0,0.0,2.0,evening,0.0,Tablet,PayPal,Direct,0.82,1.15098973094322,0
135,31.0,1.0,1.0,262.564,2.0,4.0,3.0,evening,1.0,Desktop,Bank,Direct,0.0,2.91600962081411,0
136,55.0,0.0,3.0,727.32,20.0,0.0,3.0,evening,0.0,Mobile,Cash,Ads,6.63,4.69752204671516,0
137,25.0,1.0,6.0,717.241,6.0,3.0,4.0,evening,0.0,Mobile,Credit,Social_media,1.09,0.548947584545661,0
138,59.0,1.0,2.0,126.513,6.0,0.0,8.0,evening,0.0,,,Direct,7.21,0.516048267045206,0
139,24.0,1.0,1.0,309.242,7.0,3.0,3.0,evening,0.0,Mobile,Bank,Social_media,4.13,1.95864441952707,0
140,,1.0,3.0,8.698,3.0,2.0,19.0,morning,0.0,Mobile,Bank,Search_engine,0.23,4.0305117301249,1
141,31.0,1.0,5.0,,32.0,2.0,2.0,evening,0.0,Mobile,PayPal,Ads,2.34,2.12092388886622,0
142,27.0,1.0,5.0,589.558,34.0,3.0,5.0,afternoon,0.0,Tablet,PayPal,Direct,3.58,3.59076461408299,0
143,57.0,1.0,1.0,540.52,19.0,2.0,6.0,morning,0.0,Mobile,Credit,,1.5,0.962436871074484,0
144,18.0,1.0,3.0,382.81,11.0,3.0,12.0,evening,1.0,Desktop,,Direct,0.0,1.05870926611378,0
145,52.0,1.0,3.0,7.862,32.0,2.0,3.0,evening,0.0,Tablet,Bank,Social_media,1.56,3.96187289569247,0
146,65.0,1.0,4.0,220.47,8.0,0.0,3.0,afternoon,0.0,Mobile,PayPal,Direct,10.93,2.64417014745356,0
147,18.0,0.0,4.0,103.378,5.0,4.0,3.0,afternoon,0.0,Tablet,Bank,Direct,9.32,3.18835757067006,0
148,21.0,0.0,0.0,360.322,12.0,3.0,7.0,evening,0.0,Mobile,PayPal,Search_engine,6.51,2.78040679273605,1
149,54.0,1.0,5.0,702.219,26.0,1.0,5.0,evening,1.0,Mobile,Credit,Direct,1.39,1.65766945693807,0
150,36.0,1.0,3.0,379.47,41.0,1.0,3.0,evening,1.0,Mobile,PayPal,,4.27,3.58199185158,1
151,50.0,,8.0,971.074,21.0,1.0,2.0,evening,0.0,Mobile,Bank,Social_media,2.54,4.35153389792499,0
152,42.0,1.0,6.0,423.622,24.0,3.0,1.0,afternoon,1.0,Mobile,,Email,4.77,0.781248307613819,1
153,28.0,0.0,5.0,210.181,14.0,1.0,2.0,afternoon,0.0,Mobile,,Ads,0.78,0.211705325229863,0
154,29.0,0.0,3.0,702.529,34.0,1.0,11.0,evening,0.0,Desktop,Credit,Ads,12.48,0.55262685729309,0
155,,1.0,6.0,75.427,39.0,0.0,3.0,evening,0.0,Mobile,Bank,,7.8,1.51932154842815,1
156,19.0,0.0,5.0,473.587,26.0,0.0,5.0,morning,0.0,Mobile,Cash,Ads,3.18,1.53821524135646,0
157,51.0,1.0,2.0,884.942,13.0,4.0,0.0,morning,0.0,Mobile,CreDit,Direct,18.67,2.38995097081611,0
158,31.0,1.0,6.0,506.074,15.0,0.0,3.0,afternoon,0.0,Desktop,Credit,Social_media,2.82,6.39859493453521,0
159,18.0,1.0,,505.052,43.0,2.0,2.0,afternoon,0.0,Desktop,Credit,Social_media,3.41,1.48669506913499,0
160,18.0,1.0,4.0,566.036,13.0,2.0,5.0,morning,0.0,Mobile,Cash,Email,4.64,5.25918997532822,0
161,19.0,1.0,5.0,253.371,36.0,0.0,13.0,morning,0.0,Desktop,Cash,Email,1.57,0.64743172365556,0
162,29.0,1.0,2.0,802.442,18.0,4.0,0.0,evening,0.0,,PayPal,Email,3.72,3.2490209329856,0
163,65.0,1.0,1.0,605.705,35.0,4.0,2.0,afternoon,0.0,Mobile,,Search_engine,4.5,3.14196751803904,0
164,38.0,1.0,2.0,137.762,15.0,0.0,2.0,evening,0.0,Desktop,Cash,,11.58,0.0,0
165,22.0,1.0,3.0,481.283,31.0,0.0,7.0,morning,0.0,,Cash,Ads,4.55,1.1448805821954,0
166,,0.0,2.0,792.649,30.0,0.0,1.0,afternoon,0.0,Mobile,PayPal,Email,3.35,0.215810574551853,0
167,29.0,0.0,4.0,486.201,18.0,3.0,2.0,evening,0.0,Desktop,PayPal,,2.73,3.85990067411306,0
168,22.0,1.0,,124.552,16.0,3.0,0.0,morning,1.0,Tablet,Cash,Direct,6.07,4.05728076526971,0
169,63.0,1.0,3.0,638.047,47.0,4.0,2.0,evening,1.0,Desktop,PayPal,,6.51,0.239789527279837,0
170,22.0,0.0,4.0,307.687,28.0,4.0,12.0,afternoon,0.0,Mobile,Bank,,0.0,1.3188424000391,0
171,37.0,1.0,6.0,884.659,23.0,1.0,3.0,evening,0.0,Desktop,PayPal,Direct,5.53,4.16006158404165,0
172,31.0,1.0,2.0,857.852,42.0,2.0,0.0,afternoon,1.0,Mobile,PayPal,Search_engine,1.11,4.92119188788517,0
173,28.0,1.0,2.0,171.468,10.0,4.0,3.0,evening,0.0,Mobile,Cash,Direct,7.37,0.0417438726989564,0
174,23.0,1.0,2.0,126.937,19.0,3.0,5.0,evening,0.0,Mobile,Bank,Social_media,2.77,3.48212297300506,0
175,22.0,1.0,3.0,173.49,38.0,1.0,4.0,morning,0.0,Desktop,Bank,Search_engine,12.78,1.79842145459878,0
176,53.0,1.0,4.0,872.927,16.0,1.0,2.0,morning,0.0,Desktop,Cash,Ads,2.91,2.6567321158852,0
177,51.0,1.0,5.0,207.009,10.0,1.0,1.0,afternoon,1.0,Mobile,Cash,Social_media,6.03,3.59203274507071,0
178,52.0,0.0,3.0,888.099,13.0,4.0,1.0,morning,0.0,Desktop,Credit,Direct,0.32,3.87645437366928,0
179,37.0,,3.0,652.045,41.0,0.0,7.0,morning,0.0,Mobile,Credit,Social_media,2.84,3.51555932373795,0
180,23.0,1.0,1.0,416.373,27.0,3.0,1.0,afternoon,0.0,Desktop,Cash,Social_media,2.24,3.54766305518402,0
181,,1.0,3.0,101.002,49.0,4.0,6.0,evening,1.0,Mobile,Cash,Email,7.83,0.665339195614178,0
182,44.0,1.0,5.0,713.016,2.0,4.0,2.0,afternoon,0.0,Desktop,PayPal,Social_media,3.16,2.32419515033025,0
183,44.0,0.0,1.0,831.711,33.0,1.0,5.0,evening,1.0,Mobile,,Search_engine,3.12,1.11051215957953,0
184,39.0,1.0,4.0,520.944,19.0,1.0,2.0,morning,0.0,Desktop,Credit,Ads,1.8,0.897040708388008,0
185,32.0,1.0,4.0,935.792,35.0,1.0,2.0,morning,1.0,Desktop,PayPal,Social_media,0.99,0.922270244387647,0
186,45.0,1.0,3.0,331.102,18.0,1.0,3.0,afternoon,0.0,Mobile,Credit,Search_engine,1.03,2.25725577290416,0
187,,1.0,2.0,487.48,13.0,3.0,1.0,morning,1.0,Desktop,Credit,Direct,9.73,0.514166355650266,0
188,,1.0,3.0,399.982,39.0,4.0,2.0,evening,1.0,Mobile,PayPal,Search_engine,4.78,4.26468786129269,1
189,43.0,1.0,3.0,439.006,35.0,3.0,1.0,afternoon,1.0,Mobile,Credit,Social_media,7.15,0.182671346263405,1
190,,1.0,6.0,498.373,14.0,4.0,1.0,evening,1.0,Mobile,PayPal,Email,4.77,5.36129216570943,1
191,40.0,1.0,2.0,395.329,43.0,0.0,0.0,morning,,Mobile,,Direct,9.07,0.378191025496987,0
192,18.0,1.0,7.0,659.961,47.0,4.0,3.0,morning,1.0,Mobile,Bank,Email,4.96,2.82097400909033,0
